Date,Distance from Mouth of Creek (m),Creek,Two Letter Code,Coliform count (avg cfu or mpn/100mL),Coliform count (st dev),E. coli count (avg cfu or mpn/100mL),E. coli count (st dev),Date of qPCR,# of HF183 amplifications (out of 4),HF183 CQ mean,HF183 SQ mean (copy/100 mL),# of DogBac amplifications (out of 4),DogBac CQ mean,DogBac SQ mean (copy/100 mL),(+) Control (Amplify Y/N?),"(-) Control HF-183 (Amplify Y/N?) If Yes, how many?",(-) Control DogBac (Amplify Y/N?),Days since last rain,Flow (Hydrograph) (cfs),"Stage 
(Hydrograph) (ft)",Notes,Links,
6/22/2021,100,Blunn,LSD,950,178,350,173,7/12/2021,0,0,0,0,0,0,Y,0,0,,,,,,
6/22/2021,230,Blunn,LSU,1550,196,467,76,7/12/2021,0,0,0,0,0,0,Y,0,0,,,,,https://drive.google.com/drive/folders/1sp3zxooQUUiCoSpiQ6EcEunsw90eOl2T?usp=drive_link ,
6/22/2021,2050,Blunn,NPD,1775,473,774,266,7/12/2021,0,0,0,0,0,0,Y,0,0,,,,,https://drive.google.com/drive/folders/1sp3zxooQUUiCoSpiQ6EcEunsw90eOl2T?usp=drive_link ,
6/22/2021,2340,Blunn,NPU,2225,287,488,103,7/12/2021,0,0,0,0,0,0,Y,0,0,,,,,https://drive.google.com/drive/folders/1sp3zxooQUUiCoSpiQ6EcEunsw90eOl2T?usp=drive_link ,
11/8/2022,1430,Blunn,BG,9678.4,,6212.4,,11/17/2022,4,27.7725,7047947.25,0,,,Y,N (only 1 neg well was performed) ,,,,,,11/8/2022 Blunn Creek,
11/8/2022,2050,Blunn,NPD,4813.2,,103.6,,11/17/2022,0,,,0,,,Y,N,,,,,,11-17-2022 MST Multiplex Lady Bird and Blunn Data file -  Quantification Cq Results.xlsx,
11/8/2022,2340,Blunn,NPU,3265.6,,122,,11/17/2022,1,,,0,,,Y,N,,,,,,11/8/2022 Blunn Creek,
1/28/2025,419,Blunn,AA,3080.4,,74,,2/3/2025,0,,,0,,,Y,N,N,,1,1,,"1-16-2025 Boggy & Tannehill, 1-28-2025 Blunn UE FIB MST qPCR Plate Re-Run 2-3-2025 -  Quantification Cq Results.xlsx",1/28/2025 Blunn Creek IDEXX Counts
1/28/2025,1390,Blunn,AW,3080.4,,249.6,,2/3/2025,0,,,0,,,Y,N,N,,1,1,,"1-16-2025 Boggy & Tannehill, 1-28-2025 Blunn UE FIB MST qPCR Plate Re-Run 2-3-2025 -  Quantification Cq Results.xlsx",1/28/2025 Blunn Creek IDEXX Counts
1/28/2025,1430,Blunn,BG,3921.6,,774,,2/3/2025,0,,,0,,,Y,N,N,,1,1,,"1-16-2025 Boggy & Tannehill, 1-28-2025 Blunn UE FIB MST qPCR Plate Re-Run 2-3-2025 -  Quantification Cq Results.xlsx",1/28/2025 Blunn Creek IDEXX Counts
1/28/2025,230,Blunn,LS,9678.4,,323.6,,2/3/2025,0,,,2,,,Y,N,N,,1,1,,"1-16-2025 Boggy & Tannehill, 1-28-2025 Blunn UE FIB MST qPCR Plate Re-Run 2-3-2025 -  Quantification Cq Results.xlsx",1/28/2025 Blunn Creek IDEXX Counts
2/4/2025,419,Blunn,AA,3481.6,,107.6,,2/5/2025,0,,,0,,,Y,N,N,,,,,2-4-2025 UE FIB MST Blunn Creek qPCR Plate Run 2-5-2025 -  Quantification Cq Results.xlsx,
2/4/2025,1390,Blunn,AW,856.4,,233.2,,2/5/2025,0,,,0,,,Y,N,N,,,,,2-4-2025 UE FIB MST Blunn Creek qPCR Plate Run 2-5-2025 -  Quantification Cq Results.xlsx,
2/4/2025,1430,Blunn,BG,9678.4,,541.6,,2/5/2025,4,34.51,11045438.75,0,,,Y,N,N,,,,,2-4-2025 UE FIB MST Blunn Creek qPCR Plate Run 2-5-2025 -  Quantification Cq Results.xlsx,
2/4/2025,230,Blunn,LS,3465.6,,102.4,,2/5/2025,0,,,4,32.0925,10129567.75,Y,N,N,,,,,2-4-2025 UE FIB MST Blunn Creek qPCR Plate Run 2-5-2025 -  Quantification Cq Results.xlsx,
2/4/2025,2340,Blunn,NP,9678.4,,278.8,,2/5/2025,0,,,0,,,Y,N,N,,,,,2-4-2025 UE FIB MST Blunn Creek qPCR Plate Run 2-5-2025 -  Quantification Cq Results.xlsx,
3/4/2022,853,Boggy,DW,3683.2,,16.4,,4/29/2022,0,0,0,0,0,0,Y,N,N,,,,,Copy of UE 4-29-2022 (3-4-2022 Rerun) (4-18-2022 Run) Multiplex HF183 DogBac Data -  Quantification Cq Results.xlsx,
